relation,description,title
P131,located in the administrative territorial entity the item is located on the territory of the following administrative entity. Use P276 for specifying locations that are non-administrative places and for items about events. Use P1382 if the item falls only partially into the administrative entity. located in the administrative unit located in administrative unit is in administrative unit is located in is in the state of is in the province of is in the county of is in the district of is in the department of is in the region of is in the borough of is in the city of is in the town of is in the village of is in the municipality of is in the territory of is in the prefecture of is in the voivodeship of is in the Indian reservation of is in the Indian reserve of is in the ward of is in the administrative region of is in the settlement of is in the local government area of is in the rural city of is in the shire of happens in is in the commune of in administrative unit in is in the administrative unit administrative territorial entity city town state Indian reservation in the administrative unit locality is in the parish of location (administrative territorial entity) is in the principal area of based in located in the administrative territorial entity located in the territorial entity region is in the arrondissement of administrative territory territory,located in the administrative territorial entity
P463,"member of organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that). membership band member of be member of member of musical group in musical group",member of
P161,"cast member actor in the subject production [use ""character role"" (P453) and/or ""name of the character role"" (P4633) as qualifiers] [use ""voice actor"" (P725) for voice-only role] starring film starring actor actress contestant of a play featuring starring (film/play) feat.",cast member
P170,creator maker of this creative work or other object (where no more specific property exists) artist (non-musical) created by painter sculptor creators painters sculptors made by created,creator
P449,original broadcaster network(s) or service(s) that originally broadcasted a radio or television program original channel channel TV channel radio network network television channel radio station original air channel broadcast on first air channel original network,original broadcaster
P306,operating system operating system (OS) on which a software works or the OS installed on hardware OS,operating system
P57,"director director(s) of film, TV-series, stageplay, video game or similar directed by film director movie director",director
P577,publication date date or point in time when a work was first published or released first released first published air date pubdate date of first publication first publication airdate release date date published date released published dop year of publication initial release date of release date of publication released time of publication publication publication time launched launch date released in was published in be published in be published during was published during broadcast date,publication date
P26,"spouse the subject has the object as their spouse (husband, wife, partner, etc.). Use ""unmarried partner"" (P451) for non-married companions wife married to marry marriage partner married wedded to wed wives husbands spouses husband marital partner",spouse
P194,"legislative body legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council representative body parliament council assembly diet rural council district council municipal council aboriginal council indigenous council city council local government area LGA District Tehsil Zila Jila",legislative body
P400,"platform platform for which a work was developed or released, or the specific platform version of a software product platforms computing platform game platform environment runtime published on hardware",platform
P112,"founded by founder or co-founder of this organization, religion or place co-founder founders established by co-founded by founder started by cofounder cofounded by",founded by
P974,tributary watercourse that flows into an other one (for lake inflows use P200) affluent has tributary receives river has river inflow has inflow of receives tributary,tributary
P1303,instrument musical instrument that a person plays or teaches or used in a music occupation musical instrument plays instrument instrument played plays instrument taught teaches instrument player of,instrument
P366,use main use of the subject (includes current and former usage) function role mission purpose utility used for used in usage used as as unit mission,use
P150,contains administrative territorial entity (list of) direct subdivisions of an administrative territorial entity contains divides into divided into has towns has shires has cities has rural cities has municipalities has wards has local government areas has districts has boroughs subdivided into has counties has administrative divisions has arrondissements has villages has regions has states has members has countries,contains administrative territorial entity
P118,league league in which team or player plays or has played in division sports league,league
P641,sport sport that the subject participates or participated in or is associated with sports sport played play plays,sport
P750,distributed by distributor of a creative work; distributor for a record label; news agency; film distributor distributor,distributed by
P136,genre creative work's genre or an artist's field of work (P101). Use main subject (P921) to relate creative works to their topic music genre film genre artistic genre literary genre kind of music type of film genre of music type of music,genre
P53,"family family, including dynasty and nobility houses. Not family name (use P734 for family name). house royal house dynasty noble family",family
P102,member of political party the political party of which this politician is or has been a member or otherwise affiliated party member of member of party party membership political party member political party,member of political party
P276,"location location of the object, structure or event. In the case of an administrative entity as containing item use P131. For statistical entities use P8138. In the case of a geographic entity use P706. Use P7153 for locations associated with the object. moveable object location located in event location venue is in location of item place held based in neighborhood region in located locality locale",location
P38,currency currency used by item base currency used money,currency
P403,mouth of the watercourse the body of water to which the watercourse drains watercourse outflow watercourse drain outflow drain river mouth outlet watercourse ends in flows into,mouth of the watercourse
P69,educated at educational institution attended by subject alma mater education alumni of alumna of college attended university attended school attended studied at graduate of graduated from faculty place of education alumnus of attended went to school at schooled at attended school at schooling place education place,educated at
P361,"part of object of which the subject is a part (if this subject is already part of object A which is a part of object B, then please only make the subject part of object A). Inverse property of ""has part"" (P527, see also ""has parts of the class"" (P2670)). meronym of section of system of subsystem of subassembly of merged into contained within assembly of part of-property merged with component of in within is part of subgroup of collateral branch of cadet branch of branch of element of chain",part of
P30,continent continent of which the subject is a part ,continent
P279,subclass of next higher class or type; all instances of these items are instances of those items; this item is a class (subset) of that item. Not to be confused with P31 (instance of) rdfs:subClassOf hyponym of has superclass is also a subtype of is a subtype of subcategory of is a category of is thereby also a is necessarily also a whose instances are among whose instances ⊆ those of ⊆ ⊂ is a type of is a class of subset of type of form of sc,subclass of
P106,"occupation occupation of a person; see also ""field of work"" (Property:P101), ""position held"" (Property:P39) profession job work career employment craft employ",occupation
P175,"performer actor, musician, band or other performer associated with this role or musical work artist musician played by portrayed by recorded by recording by dancer actor musical artist performed by actress sung by singer",performer
P127,owned by owner of the subject is owned by owner belongs to shareholder stockholder shareholders stockholders owners provenance belonged to is owner of proprietor,owned by
P1344,participant in event in which a person or organization was/is a participant; inverse of P710 or P1923 took part took part in participated in competed in participant of event takes part competes in present at participant of,participant in
P156,"followed by immediately following item in a series of which the subject is a part [if the subject has been replaced, e.g. political offices, use ""replaced by"" (P1366)] continued as prequel of succeded by next is precedes sequel is successor preceeds comes before next next element then",followed by
P98,editor editor of a compiled work such as a book or a periodical (newspaper or an academic journal) compiler edited by compiled by associate editor,editor
P31,instance of that class of which this subject is a particular example and member is a is an has class has type is a particular is a specific is an individual is a unique is an example of member of unique individual of distinct member of unitary element of class distinct element of distinct individual member of rdf:type type main type is a(n) type of is a type of,instance of
P706,located in/on physical feature located on the specified (geo)physical feature. Should not be used when the value is only political/administrative (P131) or a mountain range (P4552). takes place in on geographical feature on natural feature is on is in location (terrain feature) loc (terr) on geographical region terrain feature located on the terrain feature located on terrain feature located on physical feature landform,located in/on physical feature
P115,home venue home stadium or venue of a sports team or applicable performing arts organization ground home field arena home ground stadium ballpark home water venue,home venue
P749,"parent organization parent organization of an organization, opposite of subsidiaries (P355) parent organisation owned by (company or organisation) holding holding company part of parent unit parent agency superior formation owned by (company or organization) subsidiary of parent company",parent organization
P119,"place of burial location of grave, resting place, place of ash-scattering, etc. (e.g., town/city or cemetery) for a person or animal. There may be several places: e.g., re-burials, parts of body buried separately. burial place resting place place of grave buried in grave at location of burial tomb interment place of interment buried at burial location interment place interment location entombed at interred at ashes scattered at remains at",place of burial
P177,"crosses obstacle (body of water, road, railway...) which this bridge crosses over or this tunnel goes under bridge over tunnel under over under through spanning spans",crosses
P1411,"nominated for award nomination received by a person, organisation or creative work (inspired from ""award received"" (Property:P166)) nominee for nomination received nomination to have nomination to",nominated for
P1066,student of person who has taught this person teacher professor pupil of supervisor academic supervisor disciple of studied under master mentor advisor tutor apprentice of degree advisor degree supervisor thesis advisor master's thesis advisor master's supervisor master's advisor,student of
P61,"discoverer or inventor subject who discovered, first described, invented, or developed this discovery or invention inventor discoverer inventor or discoverer developer coined first described invented by created by invented discovered by developed by introduced by devised by",discoverer or inventor
P647,drafted by which team the player was drafted by ,drafted by
P6,"head of government head of the executive power of this town, city, municipality, state, country, or other governmental body mayor prime minister premier first minister head of national government chancellor governor government headed by executive power headed by president",head of government
P287,designed by person(s) or organization which designed the object has designer designer,designed by
P37,official language language designated as official by this item language official spoken in speaking language spoken,official language
P580,start time time an item begins to exist or a statement starts being valid from starting began from time since from date building date starttime introduced introduction started in beginning join date join time start date joined,start time
P1619,"date of official opening date or point in time an event, museum, theater etc. officially opened The official opening time opening date opened date opened officially opened on inaugurated launch date introduced introduction official opening dedication date grand opening established",date of official opening
P140,"religion religion of a person, organization or religious building, or associated with this subject religious affiliation faith life stance denomination follower of religion follows religion has religion",religion
P286,"head coach on-field manager or head coach of a sports club (not to be confused with a general manager P505, which is not a coaching position) or person manager club manager senior coach team manager coach coached by led by",head coach
P800,"notable work notable scientific, artistic or literary work, or other work of significance among subject's works literary works bibliography work works major works famous works significant works known for notable books famous books famous for significance representative work artwork creator of representative of artwork type they wrote they designed they discovered they invented they created",notable work
P144,based on the work(s) used as the basis for subject item fork of derived from extended from copy of adapted from based upon theme themed after adaptation of remake of modeled after modelled after replica of cover of inherits from inspired by source work based on work derivative of derivative work of,based on
P178,developer organisation or person that developed the item developed by written by created by,developer
P176,manufacturer manufacturer or producer of this product manufactured by maker mfr built by builder made by producer (of product) product of provider provided by assembler assembled by,manufacturer
P22,"father male parent of the subject. For stepfather, use ""stepparent"" (P3448) dad daddy has father parent is son of is daughter of is child of son of daughter of child of",father
